date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:01:41	20653/20653	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:46%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=39&Itemid=203	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index8fd4.html	(from https://reinter2.furg.br/)
16:01:41	19616/19616	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:46%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=31&Itemid=205	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index0f92.html	(from https://reinter2.furg.br/)
16:01:42	18585/18585	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:47%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=32&Itemid=206	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index463d.html	(from https://reinter2.furg.br/)
16:01:44	16406/16406	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:48%20GMT	https://reinter2.furg.br/index.php?option=com_wrapper&view=wrapper&Itemid=210	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index4c9c.html	(from https://reinter2.furg.br/)
16:01:50	22327/22327	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:54%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=35&Itemid=215	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexcaea.html	(from https://reinter2.furg.br/)
16:01:51	22356/22356	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:56%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=36&Itemid=217	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexb9d9.html	(from https://reinter2.furg.br/)
16:01:53	21671/21671	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:58%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=707&Itemid=508	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexf15e.html	(from https://reinter2.furg.br/)
16:01:54	19907/19907	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:01:59%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=46&Itemid=244	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index2172.html	(from https://reinter2.furg.br/)
16:01:55	19872/19872	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:00%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=17&Itemid=164	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index84c9.html	(from https://reinter2.furg.br/)
16:01:55	43484/43484	---MCZ	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:00%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=18&Itemid=305	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexa08c.html	(from https://reinter2.furg.br/)
16:01:56	26912/26912	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:01%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=62&Itemid=152	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index68ef.html	(from https://reinter2.furg.br/)
16:01:56	19513/19513	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:01%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=66&Itemid=315	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexbae6.html	(from https://reinter2.furg.br/)
16:01:57	19729/19729	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:02%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=67&Itemid=316	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexd084.html	(from https://reinter2.furg.br/)
16:01:58	20109/20109	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:03%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=69&Itemid=317	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index3ccc.html	(from https://reinter2.furg.br/)
16:01:59	20205/20205	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:04%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=60&Itemid=307	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexb849.html	(from https://reinter2.furg.br/)
16:02:00	17580/17580	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:05%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=38&Itemid=177	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexd197.html	(from https://reinter2.furg.br/)
16:02:01	25818/25818	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:06%20GMT	https://reinter2.furg.br/index.php?option=com_contact&view=category&id=4&Itemid=153	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index512b.html	(from https://reinter2.furg.br/)
16:02:01	17652/17652	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:06%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=860&Itemid=512	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/indexb277.html	(from https://reinter2.furg.br/)
16:02:02	18550/18550	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:07%20GMT	https://reinter2.furg.br/index.php?option=com_users&view=login&Itemid=306	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index342c.html	(from https://reinter2.furg.br/)
16:02:02	27731/27731	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:07%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=40&Itemid=160	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index43a8.html	(from https://reinter2.furg.br/)
16:02:03	19987/19987	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:08%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=19&Itemid=200	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index471c.html	(from https://reinter2.furg.br/)
16:02:04	17810/17810	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:09%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=59&Itemid=226	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index11b7.html	(from https://reinter2.furg.br/)
16:02:05	33706/33706	---M-Z	200	added ('OK')	text/html	date:Mon,%2009%20Jun%202025%2019:02:10%20GMT	https://reinter2.furg.br/index.php?option=com_content&view=article&id=16&Itemid=178	C:/Users/FURG%20-%20155215/Desktop/reinter-antigo/site-reinter-antigo/reinter2.furg.br/index6cae.html	(from https://reinter2.furg.br/)
